IATA,Airport name,Country,City
AAA,Anaa Airport,French Polynesia,Anaa
AAB,Arrabury Airport,Australia,Tanbar
AAC,El Arish International Airport,Egypt,El Arish
AAD,Adado Airport,Somalia,Adado
AAE,Annaba Rabah Bitat Airport,Algeria,Annaba
AAF,Apalachicola Regional Airport,United States of America,Apalachicola
AAG,Avelino Vieira Airport,Brazil,Arapoti
AAH,Aachen-Merzbrück Airport,Germany,Aachen
AAI,Arraias Airport,Brazil,Arraias
AAJ,Cayana Airstrip,Suriname,Awaradam
AAK,Aranuka Airport,Kiribati,Buariki
AAL,Aalborg Airport,Denmark,Aalborg
AAM,Malamala Airport,South Africa,Malamala
AAN,Al Ain International Airport,United Arab Emirates,Al Ain
AAO,Anaco Airport,Venezuela,Anaco
AAP,Aji Pangeran Tumenggung Pranoto International Airport,Indonesia,Samarinda
AAQ,Anapa Vityazevo Airport,Russia,Krasnyi Kurgan
AAR,Aarhus Airport,Denmark,Aarhus
AAS,Apalapsili Airport,Indonesia,Apalapsili
AAT,Altay Xuedu Airport,China,Altay
AAU,Asau Airport,Samoa,Asau
AAV,Allah Valley Airport,Philippines,Surallah
AAX,Romeu Zema Airport,Brazil,Araxá
AAY,Al Ghaydah International Airport,Yemen,Al Ghaydah
AAZ,Quezaltenango Airport,Guatemala,Quezaltenango
ABA,Abakan International Airport,Russia,Abakan
ABB,Asaba International Airport,Nigeria,Asaba
ABC,Albacete Airport / Los Llanos Air Base,Spain,Albacete
ABD,Abadan Airport,Iran,Abadan
ABE,Lehigh Valley International Airport,United States of America,Allentown
ABF,Abaiang Airport,Kiribati,Abaiang
ABG,Abingdon Downs Airport,Australia,Abingdon Downs
ABH,Alpha Airport,Australia,Alpha
ABI,Abilene Regional Airport,United States of America,Abilene
ABJ,Félix-Houphouët-Boigny International Airport,Ivory Coast,Abidjan
ABK,Kebri Dahar Airport,Ethiopia,Kebri Dahar
ABL,Ambler Airport,United States of America,Ambler
ABM,Northern Peninsula Airport,Australia,Bamaga
ABN,Albina Airport,Suriname,Albina
ABO,Aboisso Airport,Ivory Coast,Aboisso
ABP,Atkamba Airport,Papua New Guinea,Atkamba Mission
ABQ,Albuquerque International Sunport,United States of America,Albuquerque
ABR,Aberdeen Regional Airport,United States of America,Aberdeen
ABS,Abu Simbel Airport,Egypt,Abu Simbel
ABT,King Saud Bin Abdulaziz (Al Baha) Airport,Saudi Arabia,Al-Baha
ABU,AA Bere Tallo (Haliwen) Airport,Indonesia,Atambua
ABV,Nnamdi Azikiwe International Airport,Nigeria,Abuja
ABX,Albury Airport,Australia,East Albury
ABY,Southwest Georgia Regional Airport,United States of America,Albany
ABZ,Aberdeen International Airport,United Kingdom,Aberdeen
ACA,General Juan N. Álvarez International Airport,Mexico,Acapulco
ACB,Antrim County Airport,United States of America,Bellaire
ACC,Kotoka International Airport,Ghana,Accra
ACD,Alcides Fernández Airport,Colombia,Acandí
ACE,César Manrique-Lanzarote Airport,Spain,San Bartolomé
ACF,Aral Tarim Airport,China,Aral
ACH,Sankt Gallen Altenrhein Airport,Switzerland,St. Gallen
ACI,Alderney Airport,Guernsey,Saint Anne
ACJ,Anuradhapura Airport,Sri Lanka,Anuradhapura
ACK,Nantucket Memorial Airport,United States of America,Nantucket
ACN,Ciudad Acuña New International Airport,Mexico,Ciudad Acuña
ACP,Sahand Airport,Iran,Maragheh
ACR,Araracuara Airport,Colombia,Araracuara
ACS,Achinsk Airport,Russia,Achinsk
ACT,Waco Regional Airport,United States of America,Waco
ACU,Achutupu Airport,Panama,Mamitupu
ACV,California Redwood Coast-Humboldt County Airport,United States of America,Arcata/Eureka
ACX,Xingyi Wanfenglin Airport,China,Xingyi
ACY,Atlantic City International Airport,United States of America,Atlantic City
ACZ,Zabol Airport,Iran,Zabol
ADA,Adana Şakirpaşa Airport,Turkey,Seyhan
ADB,Adnan Menderes International Airport,Turkey,Gaziemir
ADC,Andakombe Airport,Papua New Guinea,Andekombe
ADD,Addis Ababa Bole International Airport,Ethiopia,Addis Ababa
ADE,Aden International Airport,Yemen,Aden
ADF,Adıyaman Airport,Turkey,Adıyaman
ADG,Lenawee County Airport,United States of America,Adrian
ADH,Aldan Airport,Russia,Aldan
ADI,Arandis Airport,Namibia,Arandis
ADJ,Amman Civil (Marka International) Airport,Jordan,Amman
ADK,Adak Airport,United States of America,Adak
ADL,Adelaide International Airport,Australia,Adelaide
ADM,Ardmore Municipal Airport,United States of America,Ardmore
ADO,Andamooka Airport,Australia,Andamooka
ADP,Ampara Airport,Sri Lanka,Ampara
ADQ,Kodiak Airport,United States of America,Kodiak
ADR,Robert F Swinnie Airport,United States of America,Andrews
ADS,Addison Airport,United States of America,Dallas
ADT,Ada Regional Airport,United States of America,Ada
ADU,Ardabil Airport,Iran,Ardabil
ADV,El Daein Airport,Sudan,El Daein
ADW,Joint Base Andrews,United States of America,Camp Springs
ADX,Leuchars Station Airfield,United Kingdom,"Leuchars, Fife"
ADY,Alldays Airport,South Africa,Alldays
ADZ,Gustavo Rojas Pinilla International Airport,Colombia,San Andrés
AEA,Abemama Airport,Kiribati,Abemama
AEB,Baise (Bose) Bama Airport,China,Baise (Tianyang)
AEE,Adareil Airport,South Sudan,Adar
AEG,Aek Godang Airport,Indonesia,Padang Sidempuan
AEH,Abeche Airport,Chad,Abeche
AEK,Aseki Airport,Papua New Guinea,Aseki
AEL,Albert Lea Municipal Airport,United States of America,Albert Lea
AEM,Amgu Airport,Russia,Amgu
AEO,Aioun el Atrouss Airport,Mauritania,Aioun El Atrouss
AEP,Jorge Newbery Airpark,Argentina,Buenos Aires
AEQ,Ar Horqin Airport,China,Chifeng
AER,Sochi International Airport,Russia,Sochi
AES,"Ålesund Airport, Vigra",Norway,Ålesund
AET,Allakaket Airport,United States of America,Allakaket
AEU,Abu Musa Island Airport,Iran,Abu Musa
AEX,Alexandria International Airport,United States of America,Alexandria
AEY,Akureyri Airport,Iceland,Akureyri
AFA,Suboficial Ay Santiago Germano Airport,Argentina,San Rafael
AFD,Port Alfred Airport,South Africa,Port Alfred
AFF,USAF Academy Airfield,United States of America,Colorado Springs
AFI,Amalfi Airport,Colombia,Amalfi
AFL,Piloto Osvaldo Marques Dias Airport,Brazil,Alta Floresta
AFN,Jaffrey Airfield Silver Ranch Airport,United States of America,Jaffrey
AFO,Afton Municipal Airport,United States of America,Afton
AFR,Afore Airstrip,Papua New Guinea,
AFS,Sugraly Airport,Uzbekistan,Zarafshan
AFT,Afutara Aerodrome,Solomon Islands,Bila
AFW,Perot Field/Fort Worth Alliance Airport,United States of America,Fort Worth
AFZ,Sabzevar National Airport,Iran,Sabzevar
AGA,Al Massira Airport,Morocco,Agadir (Temsia)
AGB,Augsburg Airport,Germany,Augsburg
AGC,Allegheny County Airport,United States of America,Pittsburgh
AGD,Anggi Airport,Indonesia,Anggi-Papua Island
AGE,Wangerooge Airport,Germany,Wangerooge
AGF,Agen La Garenne airport,France,Agen
AGG,Angoram Airport,Papua New Guinea,Angoram
AGH,Ängelholm-Helsingborg Airport,Sweden,Ängelholm
AGI,Wageningen Airstrip,Suriname,Wageningen
AGJ,Aguni Airport,Japan,Aguni
AGK,Kagua Airport,Papua New Guinea,Kagua
AGL,Wanigela Airport,Papua New Guinea,
AGO,Magnolia Municipal Airport / Ralph C Weiser Field,United States of America,Magnolia
AGP,Málaga-Costa del Sol Airport,Spain,Málaga
AGR,Agra Airport / Agra Air Force Station,India,Agra
AGS,Augusta Regional At Bush Field,United States of America,Augusta
AGT,Aeropuerto Internacional Guaraní,Paraguay,Ciudad del Este
AGU,Jesús Terán Peredo International Airport,Mexico,Aguascalientes
AGV,Oswaldo Guevara Mujica Airport,Venezuela,Acarigua
AGW,Agnew Airport,Australia,Agnew
AGX,Agatti Airport,India,Agatti
AGY,Argyle Downs Airport,Australia,Argyle Downs
AGZ,Aggeneys Airport,South Africa,Aggeneys
AHA,Maa Mahamaya Airport,India,Ambikapur
AHB,Abha International Airport,Saudi Arabia,Abha
AHC,Amedee Army Air Field,United States of America,Herlong
AHD,Ardmore Downtown Executive Airport,United States of America,Ardmore
AHE,Ahe Airport,French Polynesia,Ahe Atoll
AHF,Arapahoe Municipal Airport,United States of America,Arapahoe
AHH,Amery Municipal Airport,United States of America,Amery
AHI,Amahai Airport,Indonesia,Amahai
AHJ,Hongyuan Airport,China,Ngawa (Hongyuan)
AHL,Aishalton Airport,Guyana,Aishalton
AHM,Ashland Municipal Airport Sumner Parker Field,United States of America,Ashland
AHN,Athens Ben Epps Airport,United States of America,Athens
AHO,Alghero-Fertilia Airport,Italy,Alghero
AHS,Ahuas Airport,Honduras,Ahuas
AHU,Cherif Al Idrissi Airport,Morocco,Al Hoceima
AHY,Ambatolhy Airport,Madagascar,Ambatolahy
AHZ,L'Alpe d'Huez - Henri Giraud Altiport,France,"Huez, Isère"
AIA,Alliance Municipal Airport,United States of America,Alliance
AIC,Ailinglaplap Airok Airport,Marshall Islands,Bigatyelang Island
AID,Anderson Municipal Darlington Field,United States of America,Anderson
AIE,Aiome Airport,Papua New Guinea,Aiome
AIF,Marcelo Pires Halzhausen Airport,Brazil,Assis
AIG,Yalinga Airport,Central African Republic,Yalinga
AIH,Aiambak Airport,Papua New Guinea,Aiambak
AII,Ali-Sabieh Airport,Djibouti,Ali-Sabieh
AIK,Aiken Regional Airport,United States of America,Aiken
AIL,Ailigandí Airport,Panama,Isla Lorenzo Bello
AIM,Ailuk Airport,Marshall Islands,Ailuk Island
AIN,Wainwright Airport,United States of America,Wainwright
AIO,Atlantic Municipal Airport,United States of America,Atlantic
AIP,Adampur Airport,India,Adampur
AIR,Aripuanã Airport,Brazil,Aripuanã
AIS,Arorae Island Airport,Kiribati,Arorae Island
AIT,Aitutaki Airport,Cook Islands,Aitutaki
AIU,Enua Airport,Cook Islands,Atiu Island
AIV,George Downer Airport,United States of America,Aliceville
AIW,Ai-Ais Airport,Namibia,Ai-Ais
AIZ,Lee C Fine Memorial Airport,United States of America,Kaiser Lake Ozark
AJA,Ajaccio Napoléon Bonaparte airport,France,Ajaccio
AJF,Al-Jawf Domestic Airport,Saudi Arabia,Al-Jawf
AJI,Ağrı Airport,Turkey,Ağrı
AJJ,Akjoujt Airport,Mauritania,Akjoujt
AJK,Arak Airport,Iran,Araak
AJL,Lengpui Airport,India,Aizawl (Lengpui)
AJN,Ouani Airport,Comoros,Ouani
AJR,Arvidsjaur Airport,Sweden,Arvidsjaur
AJS,Punta Abreojos Airport,Mexico,Mulegé
AJU,Aracaju - Santa Maria International Airport,Brazil,Aracaju
AJY,Mano Dayak International Airport,Niger,Agadez
AKA,Ankang Fuqiang Airport,China,Ankang (Hanbin)
AKB,Atka Airport,United States of America,Atka
AKC,Akron Fulton International Airport,United States of America,Akron
AKD,Akola Airport,India,Akola
AKE,Akieni Airport,Gabon,Akieni
AKF,Kufra Airport,Libya,Kufra
AKG,Anguganak Airport,Papua New Guinea,Anguganak
AKI,Akiak Airport,United States of America,Akiak
AKJ,Asahikawa Airport,Japan,Higashikagura
AKK,Akhiok Airport,United States of America,Akhiok
AKL,Auckland International Airport,New Zealand,Auckland
AKM,Zakuoma Airport,Chad,ZaKouma
AKN,King Salmon Airport,United States of America,King Salmon
AKO,Colorado Plains Regional Airport,United States of America,Akron
AKP,Anaktuvuk Pass Airport,United States of America,Anaktuvuk Pass
AKQ,Astra Ksetra Airport,Indonesia,Menggala
AKR,Akure Airport,Nigeria,Akure
AKS,Gwaunaru'u Airport,Solomon Islands,Auki
AKT,RAF Akrotiri,Cyprus,Akrotiri
AKU,Aksu Hongqipo Airport,China,Aksu (Onsu)
AKV,Akulivik Airport,Canada,Akulivik
AKW,Aghajari Airport,Iran,Aghajari
AKX,Aktobe Airport,Kazakhstan,Aktobe
AKY,Sittwe Airport,Myanmar,Sittwe
ALA,Almaty International Airport,Kazakhstan,Almaty
ALB,Albany International Airport,United States of America,Albany
ALC,Alicante-Elche Miguel Hernández Airport,Spain,Alicante
ALD,Alerta Airport,Peru,Fortaleza
ALE,Alpine Casparis Municipal Airport,United States of America,Alpine
ALF,Alta Airport,Norway,Alta
ALG,Houari Boumediene Airport,Algeria,Algiers
ALH,Albany Airport,Australia,Albany
ALI,Alice International Airport,United States of America,Alice
ALJ,Alexander Bay Airport,South Africa,Alexander Bay
ALL,Riviera Villanova d'Albenga International Airport,Italy,Villanova d'Albenga (SV)
ALM,Alamogordo White Sands Regional Airport,United States of America,Alamogordo
ALN,St Louis Regional Airport,United States of America,Alton/St Louis
ALO,Waterloo Regional Airport,United States of America,Waterloo
ALP,Aleppo International Airport,Syria,Aleppo
ALQ,Alegrete Novo Airport,Brazil,Alegrete
ALR,Alexandra Aerodrome,New Zealand,Alexandra
ALS,San Luis Valley Regional Airport/Bergman Field,United States of America,Alamosa
ALT,Alenquer Municipal Airport,Brazil,Alenquer
ALU,Alula Airport,Somalia,Alula
ALW,Walla Walla Regional Airport,United States of America,Walla Walla
ALX,Thomas C Russell Field,United States of America,Alexander City
AMA,Rick Husband Amarillo International Airport,United States of America,Amarillo
AMB,Ambilobe Airport,Madagascar,
AMC,Am Timan Airport,Chad,Am Timan
AMD,Sardar Vallabh Bhai Patel International Airport,India,Ahmedabad
AME,Alto Molocue Airport,Mozambique,Alto Molocue
AMF,Ama Airport,Papua New Guinea,
AMH,Arba Minch Airport,Ethiopia,Arba Minch
AMI,Selaparang Airport,Indonesia,Mataram
AMJ,Cirilo Queiróz Airport,Brazil,Almenara
AMK,Animas Air Park,United States of America,Durango
AMM,Queen Alia International Airport,Jordan,Amman
AMN,Gratiot Community Airport,United States of America,Alma
AMO,Mao Airport,Chad,Mao
AMP,Ampanihy Airport,Madagascar,Ampanihy
AMQ,Pattimura International Airport,Indonesia,Ambon
AMS,Amsterdam Airport Schiphol,Netherlands,Amsterdam
AMT,Amata Airport,Australia,
AMU,Amanab Airport,Papua New Guinea,Amanab
AMV,Amderma Airport,Russia,Amderma
AMW,Ames Municipal Airport,United States of America,Ames
AMX,Ammaroo Airport,Australia,
AMY,Ambatomainty Airport,Madagascar,
AMZ,Ardmore Airport,New Zealand,Manurewa
ANA,Angama Airport,Kenya,Maasai Mara
ANB,Anniston Regional Airport,United States of America,Anniston
ANC,Ted Stevens Anchorage International Airport,United States of America,Anchorage
AND,Anderson Regional Airport,United States of America,Anderson
ANE,Angers Marcé airport,France,Angers
ANF,Andrés Sabella Gálvez International Airport,Chile,Antofagasta
ANG,Angoulême Brie-Champniers airport,France,Angoulême
ANI,Aniak Airport,United States of America,Aniak
ANJ,Zanaga Airport,Republic of the Congo,Zanaga
ANL,Andulo Airport,Angola,Andulo
ANM,Antsirabe Airport,Madagascar,Antsirabe
ANN,Annette Island Airport,United States of America,Metlakatla
ANO,Angoche Airport,Mozambique,Angoche
ANP,Lee Airport,United States of America,Annapolis
ANQ,Tri State Steuben County Airport,United States of America,Angola
ANR,Antwerp International Airport (Deurne),Belgium,Antwerp
ANS,Andahuaylas Airport,Peru,Andahuaylas
ANU,V C Bird International Airport,Antigua and Barbuda,Osbourn
ANV,Anvik Airport,United States of America,Anvik
ANW,Ainsworth Regional Airport,United States of America,Ainsworth
ANX,"Andøya Airport, Andenes",Norway,Andenes
ANY,Anthony Municipal Airport,United States of America,Anthony
ANZ,Angus Downs Airport,Australia,Angus Downs Station
AOB,Annanberg Airport,Papua New Guinea,
AOC,Leipzig–Altenburg Airport,Germany,Nobitz
AOD,Abou-Deïa Airport,Chad,Abou-Deïa
AOE,Anadolu Airport,Turkey,Eskişehir
AOG,Anshan Teng'ao Airport / Anshan Air Base,China,Anshan
AOH,Lima Allen County Airport,United States of America,Lima
AOI,Marche Airport,Italy,Falconara Marittima (AN)
AOJ,Aomori Airport,Japan,Aomori
AOK,Karpathos Airport,Greece,Karpathos Island
AOL,Paso De Los Libres Airport,Argentina,Paso de los Libres
AOM,Adam Airport,Oman,Adam
AOO,Altoona Blair County Airport,United States of America,Altoona
AOP,Alferez FAP Alfredo Vladimir Sara Bauer Airport,Peru,Andoas
AOR,Sultan Abdul Halim Airport,Malaysia,Alor Satar
AOT,Aosta Corrado Gex Airport,Italy,Saint-Christophe (AO)
AOU,Attopeu Airport,Laos,Attopeu
APA,Centennial Airport,United States of America,Denver
APB,Apolo Airport,Bolivia,Apolo
APC,Napa County Airport,United States of America,Napa
APF,Naples Municipal Airport,United States of America,Naples
APG,Phillips Army Air Field,United States of America,Aberdeen
APH,Mary Walker LZ Airport,United States of America,Bowling Green
APJ,Ali Pulan Airport,China,Burang Town
APK,Apataki Airport,French Polynesia,Apataki
APL,Nampula Airport,Mozambique,Nampula
APN,Alpena County Regional Airport,United States of America,Alpena
APO,Antonio Roldán Betancur Airport,Colombia,Carepa
APP,Asapa Airport,Papua New Guinea,
APQ,Arapiraca Airport,Brazil,Arapiraca
APR,April River Airport,Papua New Guinea,April River
APS,Anápolis Airport,Brazil,Anápolis
APT,Marion County Airport - Brown Field,United States of America,Jasper
APU,Captain João Busse Airport,Brazil,Apucarana
APV,Apple Valley Airport,United States of America,Apple Valley
APW,Faleolo International Airport,Samoa,Apia
APX,Arapongas Airport,Brazil,Arapongas
APY,Alto Parnaíba Airport,Brazil,Alto Parnaíba
APZ,Zapala Airport,Argentina,Zapala
AQA,Araraquara Airport,Brazil,Araraquara
AQB,Quiché Airport,Guatemala,Santa Cruz del Quiché
AQG,Anqing Tianzhushan Airport / Anqing North Air Base,China,Anqing
AQI,Al Qaisumah/Hafr Al Batin Airport,Saudi Arabia,Qaisumah
AQJ,Aqaba King Hussein International Airport,Jordan,Aqaba
AQP,Rodríguez Ballón International Airport,Peru,Arequipa
AQY,Girdwood-Alyeska Airport,United States of America,Girdwood
ARA,Acadiana Regional Airport,United States of America,New Iberia
ARB,Ann Arbor Municipal Airport,United States of America,Ann Arbor
ARC,Arctic Village Airport,United States of America,Arctic Village
ARD,Alor Island - Mali Airport,Indonesia,Kabola
ARE,Antonio Nery Juarbe Pol Airport,Puerto Rico,Arecibo
ARF,Acaricuara Airport,Colombia,Acaricuara
ARG,Walnut Ridge Regional Airport,United States of America,Walnut Ridge
ARH,Talagi Airport,Russia,Archangelsk
ARI,Chacalluta Airport,Chile,Arica
ARK,Arusha Airport,Tanzania,Arusha
ARL,Arly Airport,Burkina Faso,Arly
ARM,Armidale Airport,Australia,Armidale
ARN,Stockholm-Arlanda Airport,Sweden,Stockholm
ARO,Arboletes Airport,Colombia,Arboletes
ARP,Aragip Airport,Papua New Guinea,
ARR,D. Casimiro Szlapelis Airport,Argentina,Alto Rio Senguerr
ARS,Aragarças Airport,Brazil,Aragarças
ART,Watertown International Airport,United States of America,Watertown
ARU,Araçatuba Airport,Brazil,Araçatuba
ARV,Lakeland Airport Noble F Lee Memorial Field,United States of America,Woodruff
ARW,Arad International Airport,Romania,Arad
ARX,Aracati Dragão do Mar Regional Airport,Brazil,Aracati
ARY,Ararat Airport,Australia,Ararat
ARZ,N'zeto Airport,Angola,N'zeto
ASA,Assab International Airport,Eritrea,Assab
ASB,Ashgabat International Airport,Turkmenistan,Ashgabat
ASC,Ascención de Guarayos Airport,Bolivia,Ascensión de Guarayos
ASD,Andros Town Airport,Bahamas,Andros Town
ASE,Aspen-Pitkin County Airport (Sardy Field),United States of America,Aspen
ASF,Astrakhan Narimanovo Boris M. Kustodiev International Airport,Russia,Astrakhan
ASG,Ashburton Airport,New Zealand,Ashburton
ASH,Nashua Airport / Boire Field,United States of America,Nashua
ASI,RAF Ascension Island,"Saint Helena, Ascension and Tristan da Cunha",Cat Hill
ASJ,Amami Airport,Japan,Amami
ASK,Yamoussoukro Airport,Ivory Coast,Yamoussoukro
ASL,Harrison County Airport,United States of America,Marshall
ASM,Asmara International Airport,Eritrea,Asmara
ASN,Talladega Municipal Airport,United States of America,Talladega
ASO,Asosa Airport,Ethiopia,Asosa
ASP,Alice Springs Airport,Australia,Alice Springs
ASQ,Austin Airport,United States of America,Austin
ASR,Kayseri Erkilet Airport,Turkey,Kayseri
ASS,Arathusa Safari Lodge Airport,South Africa,Arathusa
AST,Astoria Regional Airport,United States of America,Astoria
ASU,Aeropuerto Internacional Silvio Pettirossi,Paraguay,Asunción
ASV,Amboseli Airport,Kenya,Amboseli National Park
ASW,Aswan International Airport,Egypt,Aswan
ASX,John F Kennedy Memorial Airport,United States of America,Ashland
ASY,Ashley Municipal Airport,United States of America,Ashley
ASZ,Asirim Airport,Papua New Guinea,
ATA,Comandante FAP German Arias Graziani Airport,Peru,Anta
ATB,Atbara Airport,Sudan,Atbara
ATC,Arthur's Town Airport,Bahamas,Arthur's Town
ATD,Uru Harbour Airport,Solomon Islands,Atoifi
ATE,Antlers Municipal Airport,United States of America,Antlers
ATF,Chachoán Regional Airport,Ecuador,Ambato
ATH,Athens Eleftherios Venizelos International Airport,Greece,Spata-Artemida
ATI,Artigas International Airport,Uruguay,Artigas
ATJ,Antsirabe Airport,Madagascar,Antsirabe
ATK,Atqasuk Edward Burnell Sr Memorial Airport,United States of America,Atqasuk
ATL,Hartsfield Jackson Atlanta International Airport,United States of America,Atlanta
ATM,Altamira Interstate Airport,Brazil,Altamira
ATN,Namatanai Airport,Papua New Guinea,Namatanai
ATO,Ohio University Airport,United States of America,Albany
ATP,Aitape Airport,Papua New Guinea,Aitape
ATQ,Sri Guru Ram Dass Jee International Airport,India,Amritsar
ATR,Atar International Airport,Mauritania,Atar
ATS,Artesia Municipal Airport,United States of America,Artesia
ATT,Atmautluak Airport,United States of America,Atmautluak
ATV,Ati Airport,Chad,Ati
ATW,Appleton International Airport,United States of America,Appleton
ATX,Atbasar Airport,Kazakhstan,Atbasar
ATY,Watertown Regional Airport,United States of America,Watertown
ATZ,Asyut International Airport,Egypt,Asyut
AUA,Queen Beatrix International Airport,Aruba,Oranjestad
AUC,Santiago Perez Airport,Colombia,Arauca
AUD,Augustus Downs Airport,Australia,
AUE,Abu Rudeis Airport,Egypt,Ras Abu Rudeis
AUF,Auxerre Branches airport,France,Auxerre
AUG,Augusta State Airport,United States of America,Augusta
AUH,Zayed International Airport,United Arab Emirates,Abu Dhabi
AUI,Aua Island Airport,Papua New Guinea,Aua Island
AUJ,Ambunti Airport,Papua New Guinea,Ambunti
AUK,Alakanuk Airport,United States of America,Alakanuk
AUL,Aur Island Airport,Marshall Islands,Aur Atoll
AUM,Austin Municipal Airport,United States of America,Austin
AUN,Auburn Municipal Airport,United States of America,Auburn
AUO,Auburn University Regional Airport,United States of America,Auburn
AUP,Agaun Airport,Papua New Guinea,
AUQ,Hiva Oa-Atuona Airport,French Polynesia,Hiva Oa Island
AUR,Aurillac airport,France,Aurillac
AUS,Austin Bergstrom International Airport,United States of America,Austin
AUT,Atauro Airport,East Timor,Vila
AUU,Aurukun Airport,Australia,Aurukun
AUV,Aumo Airport,Papua New Guinea,Aumo
AUW,Wausau Downtown Airport,United States of America,Wausau
AUX,Araguaína Airport,Brazil,Araguaína
AUY,Aneityum Airport,Vanuatu,Anatom Island
AUZ,Aurora Municipal Airport,United States of America,Chicago/Aurora
AVA,Anshun Huangguoshu Airport,China,Anshun (Xixiu)
AVG,Auvergne Airport,Australia,Auvergne Station
AVI,Máximo Gómez Airport,Cuba,Ciro Redondo
AVK,Arvaikheer Airport,Mongolia,Arvaikheer
AVL,Asheville Regional Airport,United States of America,Asheville
AVN,Avignon Caumont airport,France,Avignon
AVO,Avon Park Executive Airport,United States of America,Avon Park
AVP,Wilkes Barre Scranton International Airport,United States of America,Wilkes-Barre/Scranton
AVU,Avu Avu Airport,Solomon Islands,Avu Avu
AVV,Avalon Airport,Australia,Lara
AVW,Marana Regional Airport,United States of America,Marana
AVX,Catalina Airport,United States of America,Avalon
AWA,Hawassa International Airport,Ethiopia,Hawassa
AWB,Awaba Airport,Papua New Guinea,Awaba
AWD,Aniwa Airport,Vanuatu,Aniwa
AWE,Alowe Airport,Gabon,Wonga Wongué Presidential Reserve
AWK,Wake Island Airfield,United States Minor Outlying Islands,Wake Island
AWM,West Memphis Municipal Airport,United States of America,West Memphis
AWN,Alton Downs Airport,Australia,
AWP,Austral Downs Airport,Australia,
AWZ,Lieutenant General Qasem Soleimani International Airport,Iran,Ahvaz
AXA,Clayton J Lloyd International Airport,Anguilla,The Valley
AXB,Maxson Airfield,United States of America,Alexandria Bay
AXC,Aramac Airport,Australia,
AXD,Alexandroupoli Democritus Airport,Greece,Alexandroupolis
AXE,Xanxerê Airport,Brazil,Xanxerê
AXF,Alxa Left Banner Bayanhot Airport,China,Bayanhot
AXG,Algona Municipal Airport,United States of America,Algona
AXJ,Amakusa Airport,Japan,Amakusa
AXK,Ataq Airport,Yemen,Ataq
AXL,Alexandria Homestead Airport,Australia,
AXM,El Eden Airport,Colombia,Armenia
AXN,Chandler Field,United States of America,Alexandria
AXP,Spring Point Airport,Bahamas,Spring Point
AXR,Arutua Airport,French Polynesia,
AXS,Altus Quartz Mountain Regional Airport,United States of America,Altus
AXT,Akita Airport,Japan,Akita
AXU,Axum Airport,Ethiopia,Axum
AXV,Neil Armstrong Airport,United States of America,Wapakoneta
AXX,Angel Fire Airport,United States of America,Angel Fire
AYA,Ayapel Airport,Colombia,Ayapel
AYC,Ayacucho Airport,Colombia,Ayacucho
AYD,Alroy Downs Airport,Australia,Alroy Downs
AYG,Yaguara Airport,Colombia,San Vicente Del Caguán
AYI,Yari Airport,Colombia,Yari
AYJ,Ayodhya Airport,India,Faizabad
AYK,Arkalyk North Airport,Kazakhstan,Arkalyk
AYL,Anthony Lagoon Airport,Australia,
AYN,Anyang Yindu Airport,China,Anyang
AYO,Aeropuerto Nacional Juan de Ayolas,Paraguay,Ayolas
AYP,Air Force Colonel Alfredo Mendivil Duarte Airport,Peru,Ayacucho
AYQ,Ayers Rock Connellan Airport,Australia,Yulara
AYR,Ayr Airport,Australia,Ayr
AYS,Waycross Ware County Airport,United States of America,Waycross
AYT,Antalya International Airport,Turkey,Antalya
AYU,Aiyura Airport,Papua New Guinea,Aiyura Valley
AYW,Ayawasi Airport,Indonesia,Ayawasi
AYX,Teniente General Gerardo Pérez Pinedo Airport,Peru,Atalaya
AZA,Mesa Gateway Airport,United States of America,Mesa
AZB,Amazon Bay Airport,Papua New Guinea,
AZD,Shahid Sadooghi Airport,Iran,Yazd
AZG,Apatzingán - Pablo L. Sidar Airport,Mexico,Apatzingán
AZI,Al Bateen Executive Airport,United Arab Emirates,Abu Dhabi
AZL,Fazenda Tucunaré Airport,Brazil,Sapezal
AZN,Andizhan Airport,Uzbekistan,Andizhan
AZO,Kalamazoo Battle Creek International Airport,United States of America,Kalamazoo
AZP,Jorge Jiménez Cantú National Airport,Mexico,Atizapán de Zaragoza
AZR,Touat Cheikh Sidi Mohamed Belkebir Airport,Algeria,Adrar
AZS,Samaná El Catey International Airport,Dominican Republic,Samana
AZT,Zapatoca Airport,Colombia,Zapatoca
AZZ,Ambriz Airport,Angola,Ambriz
BAA,Bialla Airport,Papua New Guinea,"Bialla, Matalilu, Ewase"
BAB,Beale Air Force Base,United States of America,Beale Air Force Base
BAC,Barranca De Upia Airport,Colombia,Barranca De Upia
BAD,Barksdale Air Force Base,United States of America,Bossier City
BAE,Barcelonnette - Saint-Pons Airfield,France,"Saint-Pons, Alpes-de-Haute-Provence"
BAF,Westfield-Barnes Regional Airport,United States of America,Westfield
BAG,Loakan Airport,Philippines,Baguio
BAH,Bahrain International Airport,Bahrain,Manama
BAI,Buenos Aires Airport,Costa Rica,Punta Arenas
BAJ,Bali Airport,Papua New Guinea,Unea Island
BAL,Batman Airport,Turkey,Batman
BAM,Battle Mountain Airport,United States of America,Battle Mountain
BAN,Basongo Airport,Democratic Republic of the Congo,Basongo
BAQ,Ernesto Cortissoz International Airport,Colombia,Barranquilla
